;TECHPUBLAYERNAME;uuid
45;ch.bafu.alpweiden-herdenschutzhunde;88ec92d4-409f-40ee-9c46-83aa4fb992aa
46;ch.bafu.amphibienwanderung-verkehrskonflikte;8dc1e2a5-eab0-467a-a570-d994830f8340
47;ch.bafu.auen-ausserhalb_bundesinventar;feff7d50-4917-40d0-bcbe-675680d4aa0e
48;ch.bafu.auen-ausserhalb_bundesinventar_alpin;ecee1c92-9d66-41c7-af14-900902f54527
49;ch.bafu.auen-vegetationskarten;ab76361f-657d-4705-9053-95f89ecab126
50;ch.bafu.biogeographische_regionen;fc110d43-cfbc-4029-a73c-f24bd67c9689
51;ch.bafu.bundesinventare-amphibien;1b48774e-1047-4e8f-b743-769a2b3901cb
52;ch.bafu.bundesinventare-amphibien_anhang4;2a701f93-3bd3-4068-a6a8-59d7383a3b30
53;ch.bafu.bundesinventare-amphibien_wanderobjekte;36a55486-04be-4533-9936-9c05407114a1
54;ch.bafu.bundesinventare-auen;d47dffc7-8072-40c2-bbf7-4fb47367bd29
55;ch.bafu.bundesinventare-auen_anhang2;5b5b3700-245d-4c15-aabb-5fb177860db5
56;ch.bafu.bundesinventare-auen_vegetation_alpin;24ff96e5-0cda-485b-9ec0-365960a11190
57;ch.bafu.bundesinventare-bln;bc3f1564-1e56-44e9-98b6-f0d8c5130410
58;ch.bafu.bundesinventare-flachmoore;c98723f6-4c76-480b-bada-c8a5ce3d20d8
59;ch.bafu.bundesinventare-hochmoore;2ce98519-dd40-4cc1-bd95-8f4234d78492
60;ch.bafu.bundesinventare-jagdbanngebiete;200a2d0e-afe1-45d8-aeaf-ea3621cc6afe
61;ch.bafu.bundesinventare-moorlandschaften;7ed73e2f-0a41-4e8b-a7ff-413f2d9b5ece
62;ch.bafu.bundesinventare-trockenwiesen_trockenweiden;8fa24249-1ad0-48d3-a879-6ba6893db1d7
63;ch.bafu.bundesinventare-trockenwiesen_trockenweiden_anhang2;9391d96a-280b-4e7b-bcc7-7836007b30f1
64;ch.bafu.bundesinventare-vogelreservate;8fc6f748-80ce-47b2-8d49-b05a0c8ba975
65;ch.bafu.fauna-steinbockkolonien;9c762bb5-4d8c-4174-9b77-95e85b962439
66;ch.bafu.fauna-wildtierkorridor_national;df8e620a-6f8a-41f8-85fb-394d6ceda8a0
67;ch.bafu.feststoffe-geschiebemessnetz;05ba053f-60ca-492b-a1f5-bd70f6de8761
68;ch.bafu.fischerei-krebspest;722d70aa-8404-47ca-ae5d-1e521e4229e9
69;ch.bafu.flora-weltensutter_atlas;09e50e6f-67ec-4892-b993-94686b0d9739
70;ch.bafu.flussordnungszahlen-strahler;e8b4794c-7045-4970-85eb-6caba4384976
71;ch.bafu.gefahren-baugrundklassen;812485e6-821c-412d-8504-459c6b314d1c
72;ch.bafu.gefahren-historische_erdbeben;3d1d7649-8c27-435c-ae74-7c0f2e3fbcf1
73;ch.bafu.gefahren-spektral;a869c0d0-ff03-4cbf-93e8-c568f01bf9bc
74;ch.bafu.gewaesserschutz-badewasserqualitaet;5601eb96-45cb-40a4-a595-2ec0ebda8e8c
75;ch.bafu.gewaesserschutz-biologischer_zustand_diatomeen;04193332-3a11-4fa6-bdc0-1bee0deb4bc1
76;ch.bafu.gewaesserschutz-biologischer_zustand_fische;16a81f2f-c2ce-4f6b-adf5-60c9a246819e
77;ch.bafu.gewaesserschutz-biologischer_zustand_makrophyten;0ecdff3c-29b0-4556-a641-2e95d54cd406
78;ch.bafu.gewaesserschutz-biologischer_zustand_makrozoobenthos;b0b3a9f3-0a3f-4177-ba89-ad21c8b39a10
79;ch.bafu.gewaesserschutz-chemischer_zustand_ammonium;35fe15e6-ea42-467e-928c-ce2b75512972
80;ch.bafu.gewaesserschutz-chemischer_zustand_doc;7ecace17-ab1a-4629-b80c-cb8599e8d07b
81;ch.bafu.gewaesserschutz-chemischer_zustand_nitrat;e1a5a3ea-483e-4ccc-968e-0026d7df5e61
82;ch.bafu.gewaesserschutz-chemischer_zustand_nitrit;cbe62982-11ff-46c1-9264-4b3bb67a7743
83;ch.bafu.gewaesserschutz-chemischer_zustand_phosphat;4c2c25da-35fe-40a8-97be-feb29051a170
84;ch.bafu.gewaesserschutz-chemischer_zustand_phosphor_gesamt;359e590e-4c29-494a-80ba-182a9682173c
85;ch.bafu.gewaesserschutz-diffuse_eintraege_phosphor;9c4bf1ae-ee0a-491c-9ce3-156a3001a954
86;ch.bafu.gewaesserschutz-diffuse_eintraege_stickstoff;9b7dc233-813b-490b-b13c-3b3ab787e11f
87;ch.bafu.gewaesserschutz-klaeranlagen_anteilq347;4e8a2a6b-9ede-4107-9b50-6e9af7389144
88;ch.bafu.gewaesserschutz-klaeranlagen_ausbaugroesse;5e06e47a-8d78-440f-b98e-e46cfa52c474
89;ch.bafu.gewaesserschutz-klaeranlagen_reinigungstyp;c80d9b2e-522e-45cb-a587-c5fe028d63df
90;ch.bafu.grundwasserkoerper;2bd1ab86-83ec-4c3e-b937-ab81b4968bc6
91;ch.bafu.hydrogeologie-markierversuche;fedac2fe-5f2b-4b4f-a21d-3c9fc216c496
92;ch.bafu.hydrogeologische-karte_100;b01523a1-9f61-43a2-95cb-be843cc1b18a
93;ch.bafu.hydrologie-daueruntersuchung_fliessgewaesser;89a644dc-b73d-4d01-b72e-8feefc8f4bf7
94;ch.bafu.hydrologie-gewaesserzustandsmessstationen;f48022fc-52a9-4303-95c7-18f5096f1a00
95;ch.bafu.hydrologie-hochwassergrenzwertpegel;36bcd44f-fd6e-49cd-a220-a6e9f386028e
96;ch.bafu.hydrologie-hochwasserstatistik;74936192-7935-4686-86ad-c7c795d31b44
97;ch.bafu.hydrologie-hydromessstationen;bd377507-c61d-4fe2-bf81-9605b405d8ad
98;ch.bafu.hydrologie-messstationen_gefahren;acca4141-17e4-46a2-8bc8-f4456fb2d822
99;ch.bafu.hydrologie-niedrigwasserstatistik;5cfc8b95-c901-44b9-baa3-b768a5edb647
100;ch.bafu.hydrologie-q347;83e6752a-e668-4ade-9ad5-fd9d555d35da
101;ch.bafu.hydrologie-untersuchungsgebiete;eb6b589d-1184-441f-84cf-d4fa6ac46a38
102;ch.bafu.hydrologie-untersuchungsgebiete_stationen;9ce0ce29-35b2-4fdd-bfc8-247e189dca8f
103;ch.bafu.hydrologie-wassertemperaturmessstationen;4f10c35a-8fac-4000-ab6d-7a294284059a
104;ch.bafu.hydrologischer-atlas_basisgebiete;f9e7ce17-3622-4ae4-8cbb-067011d5eed5
105;ch.bafu.hydrologischer-atlas_bilanzgebiete;52d0c066-65dd-4dd1-ac94-2b34f83a9bd6
106;ch.bafu.hydrologischer-atlas_flussgebiete;edff6d33-ba8c-441e-b8bd-7ab4969d4440
107;ch.bafu.hydrologischer-atlas_kantonale-messstationen;48143f81-0076-463f-a71d-b888cc7fe01b
108;ch.bafu.hydroweb-messstationen_gefahren;7c64e2fa-1afe-41f4-9f91-ed251079965c
109;ch.bafu.hydroweb-messstationen_grundwasser;6146dc21-18b6-4d94-8865-8c2b99256e1b
110;ch.bafu.hydroweb-messstationen_grundwasserzustand;f87d692e-8d65-4188-94ba-61b4c61d621c
111;ch.bafu.hydroweb-messstationen_temperatur;eb9d3cc1-0c04-4cda-9f21-7742b8376be7
112;ch.bafu.hydroweb-messstationen_vorhersage;6655ccdb-fb9b-4049-8bf5-4d5a0b3bfe4f
113;ch.bafu.hydroweb-messstationen_zustand;b034fd62-6405-44a7-969a-e1f5ebe873ee
114;ch.bafu.hydroweb-warnkarte_national;e1d0c17a-0dbd-4455-bc83-1606e1e04298
115;ch.bafu.hydroweb-warnkarte_regional;a81982a8-ab5f-41ae-8ce8-3fa524dfe963
116;ch.bafu.karst-ausdehnung_grundwasservorkommen;4ea295bb-a098-492b-84f8-e7687737fb35
117;ch.bafu.karst-einzugsgebiete;01811bd5-7f55-4c89-92f2-78fcd379affa
118;ch.bafu.karst-einzugsgebietseinheiten;fa918831-97d1-4486-a348-c891f4e900ad
119;ch.bafu.karst-quellen_schwinden;1786c0cc-8aac-44b1-880c-aa627de09c1e
120;ch.bafu.karst-unterirdische_fliesswege;7db32f1d-691d-4d2d-a842-ee188210acf6
121;ch.bafu.landesforstinventar-produktionsregionen;3cc48f49-5641-4bd9-a5a9-22ab01063147
122;ch.bafu.landesforstinventar-schutzwaldregionen;3f0550c4-bbfa-4fcd-89ba-217e26b20b71
123;ch.bafu.landesforstinventar-vegetationshoehenmodell;8b7c23ef-88a4-47d6-87dc-6f5b5d91928c
124;ch.bafu.landesforstinventar-vegetationshoehenmodell_relief;55eb4917-ce3b-423b-873f-2c8efb1c6762
125;ch.bafu.landesforstinventar-wirtschaftsregionen;5a1886a3-b107-4794-8784-3077e67dc568
126;ch.bafu.mittlere-abfluesse;75c48c9d-34ec-4a11-bdd8-6dc019f0ec9e
127;ch.bafu.mittlere-abfluesse_zukunft;144e7781-cfff-404c-ae9c-474525ed9a1f
128;ch.bafu.moose;07b046a7-1b21-4cd0-b605-a113f2e5e94d
129;ch.bafu.nabelstationen;14de1375-09ae-42b4-9592-5f0af091d050
130;ch.bafu.oekomorphologie-f_abschnitte;ea12e280-75cf-4b71-90f0-d2bcc9d7fdfa
131;ch.bafu.oekomorphologie-f_abstuerze;1ec44d95-573a-489c-9a57-7bc278cc6792
132;ch.bafu.oekomorphologie-f_bauwerke;5742b03b-d567-4acb-a84d-a3069faaa396
133;ch.bafu.schutzgebiete-aulav_auen;54d007ed-2ab9-4cb3-9b41-b3c74a519eae
134;ch.bafu.schutzgebiete-aulav_jagdbanngebiete;e3cf990a-23d5-4876-b279-206f9eb5f4c9
135;ch.bafu.schutzgebiete-aulav_moorlandschaften;947f9c40-eef0-497a-90f2-9acf59a25f0c
136;ch.bafu.schutzgebiete-aulav_uebrige;3e13af56-e32b-4092-a6eb-2adb6d3967cb
137;ch.bafu.schutzgebiete-biosphaerenreservate;c212a19c-6e06-4ca4-bdee-3ec62ccd7b1e
138;ch.bafu.schutzgebiete-paerke_nationaler_bedeutung;b1fb8e29-8387-4081-9976-022ff925823b
139;ch.bafu.schutzgebiete-paerke_nationaler_bedeutung_perimeter;bc4bd921-cec6-4f29-a784-29049c9f8026
140;ch.bafu.schutzgebiete-ramsar;d960a5c8-44e4-4d10-a9f6-95f58568563c
141;ch.bafu.schutzgebiete-smaragd;d31b13f3-f68f-4432-a1f8-5344046c2dd2
142;ch.bafu.strukturguete-hochrhein_linkesufer;536e1742-182c-4fb3-a067-12899be38afa
143;ch.bafu.strukturguete-hochrhein_linkesumfeld;9b3f9ceb-3072-410f-b8ab-033ee151991c
144;ch.bafu.strukturguete-hochrhein_rechtesufer;0486c8a6-620b-4983-9e2e-7f91fd42c0d6
145;ch.bafu.strukturguete-hochrhein_rechtesumfeld;0343f09b-8638-4694-91d6-c2b2ba1b124d
146;ch.bafu.strukturguete-hochrhein_sohle;06c4d44c-2e9a-4ee2-8926-6457bb78dce2
147;ch.bafu.sturm-boeenspitzen_100;4d1d17aa-2b92-42a9-b847-d6597631a264
148;ch.bafu.sturm-boeenspitzen_30;83d7e62e-2e5e-4877-8434-93f0cabc6438
149;ch.bafu.sturm-boeenspitzen_300;a7956843-bc72-4271-b238-72fb4a21baa0
150;ch.bafu.sturm-boeenspitzen_50;17531a73-040c-4bd8-8d77-3f24c733b37a
151;ch.bafu.sturm-staudruck_100;4200db1b-16dd-48bb-8378-75afe4ec002b
152;ch.bafu.sturm-staudruck_30;6edc63b6-f56b-4fb6-8ba3-1506bea16ec8
153;ch.bafu.sturm-staudruck_300;d416fce6-2319-4afc-9d28-3455083b2f40
154;ch.bafu.sturm-staudruck_50;41ace4c6-967d-4b99-b7aa-a0e51bc63611
155;ch.bafu.swissprtr;980b541f-f651-439b-ad0c-ec0f7f10e514
156;ch.bafu.typisierung-fliessgewaesser;50a848cc-fe89-426a-940b-cc409cb4ff50
157;ch.bafu.vec25-gewaessernetz_2000;30b22e49-7ef5-4fa6-b957-7b38cc3beb27
158;ch.bafu.vec25-seen;b3bcb280-b613-4b43-8889-bc386e621e0d
159;ch.bafu.wald-vegetationshoehenstufen_2085_weniger_trocken;c63a8513-7d77-4e11-9f6f-8d36debb036b
160;ch.bafu.waldreservate;4b9ff750-3e52-43e9-80d1-c07c59c469fd
161;ch.bafu.wasser-entnahme;a4ecf3a4-9943-4826-a997-9d7523e4d8ad
162;ch.bafu.wasser-gebietsauslaesse;1a4d7eee-5135-4895-a255-e1dfd1fd6ff9
163;ch.bafu.wasser-leitungen;ae65e4e3-f47b-4544-a3a2-81dbf79d5a73
164;ch.bafu.wasser-rueckgabe;ed1931ac-81bc-4517-9860-80090e530e33
165;ch.bafu.wasser-teileinzugsgebiete_2;6d9c8ba5-2532-46ed-bc26-0a4017787a56
166;ch.bafu.wasser-teileinzugsgebiete_40;102e547e-6210-46ea-9246-123f966ba9be
167;ch.bafu.wasser-vorfluter;300a3547-7b21-40a1-85d4-5d5387e81afc
168;ch.bafu.wasserbau-querprofilmarken;a5bdee12-cbec-4fbd-ba88-91f0d4ae8c10
169;ch.bafu.wasserbau-vermessungsstrecken;80a307f9-c24b-4ec2-adab-9e0c9e251f88
170;ch.bafu.wrz-jagdbanngebiete_select;35f25047-ea29-4422-9497-3dac46e00eb9
171;ch.bafu.wrz-wildruhezonen_portal;4a0c8bc7-89d1-484e-a34a-454a31267c41
